City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,urucui,-7.2294,-44.5561,25.33,72,88,1.28,BR,1681342611
334,norman wells,65.282,-126.8329,2.02,44,100,0.0,CA,1681342611
335,balsas,-7.5325,-46.0356,26.78,68,65,1.89,BR,1681342612
336,port lincoln,-34.7333,135.8667,16.13,65,8,2.04,AU,1681342612
337,darhan,49.4867,105.9228,-3.38,85,100,10.71,MN,1681342612
338,kloulklubed,7.0419,134.2556,26.28,78,22,4.15,PW,1681342612
339,goderich,43.7501,-81.7165,18.18,48,0,6.17,CA,1681342612
340,warri,5.5167,5.75,25.63,93,51,1.45,NG,1681342612
341,maniitsoq,65.4167,-52.9,-2.88,85,23,3.36,GL,1681342613
342,waipawa,-41.4122,175.5153,14.83,77,99,2.24,NZ,1681342613
343,ust-ilimsk,58.0006,102.6619,-8.66,88,92,3.23,RU,1681342614
344,saint-joseph,-21.3667,55.6167,23.59,85,17,0.99,RE,1681342614
345,hokitika,-42.7167,170.9667,14.51,89,100,2.33,NZ,1681342614
346,aksu,41.1231,80.2644,9.94,35,7,1.57,CN,1681342614
347,samarai,-10.6167,150.6667,29.13,75,70,1.54,PG,1681342614
348,pemberton,50.3164,-122.8027,11.83,59,37,1.21,CA,1681342614
349,bairiki,1.3292,172.9752,30.0,70,20,3.6,KI,1681342614
350,tottori,35.5,134.2333,11.04,50,0,4.12,JP,1681342615
351,weligama,5.9667,80.4167,24.94,89,96,2.86,LK,1681342506
352,oum hadjer,13.2954,19.6966,27.71,14,55,4.93,TD,1681342615
353,korla,41.7597,86.1469,9.28,41,85,2.39,CN,1681342615
354,angra dos reis,-23.0067,-44.3181,22.92,86,99,1.35,BR,1681342615
355,raga,8.4596,25.678,26.61,58,96,1.61,SS,1681342615
356,santiago,-33.4569,-70.6483,20.86,60,0,5.14,CL,1681342391
357,kimberley,-28.7323,24.7623,14.53,19,84,1.04,ZA,1681342615
358,atar,20.5169,-13.0499,25.63,56,60,1.8,MR,1681342616
359,amga,60.8953,131.9608,-2.82,73,100,2.51,RU,1681342616
360,berlevag,70.8578,29.0864,-3.03,63,9,10.8,NO,1681342616
361,myanaung,18.2833,95.3167,26.65,46,4,1.68,MM,1681342616
362,sovetskiy,61.3614,63.5842,-11.55,90,100,5.29,RU,1681342616
